tconst,averageRating,runtimeMinutes,genres,directors,actor
tt0184894,6.6,110,"Action,Adventure,Comedy",nm0223359,nm0000329
tt0185014,7.2,107,"Comedy,Drama",nm0000436,nm0000140
tt0185183,2.5,118,"Action,Adventure,Sci-Fi",nm0002337,nm0000237
tt0185431,5.3,90,"Comedy,Fantasy",nm0109359,nm0001191
tt0186151,7.4,118,"Crime,Drama,Mystery",nm0387706,nm0000598
tt0186566,6.5,130,"Action,Adventure,Thriller",nm0000142,nm0000142
tt0186894,5.8,106,"Drama,Romance",nm0740400,nm0000255
tt0187078,6.5,118,"Action,Crime,Thriller",nm0784061,nm0000115
tt0187393,7.2,165,"Action,Drama,History",nm0000386,nm0000154
tt0187738,6.7,117,"Action,Horror,Sci-Fi",nm0868219,nm0000648
tt0188453,6.0,93,"Comedy,Crime,Thriller",nm0125336,nm0000173
tt0189998,6.9,92,"Drama,Horror",nm0580729,nm0000518
tt0190138,6.7,98,"Comedy,Crime",nm0528718,nm0000246
tt0190332,7.9,120,"Action,Adventure,Drama",nm0000487,nm0000334
tt0190374,3.6,107,"Action,Adventure,Fantasy",nm0813309,nm0923529
tt0190590,7.7,107,"Adventure,Comedy,Crime","nm0001054,nm0001053",nm0000123
tt0190865,5.9,124,"Action,Adventure,Drama",nm0132709,nm0001277
tt0191397,6.6,118,"Comedy,Sport",nm0222043,nm0000206
tt0191754,6.1,103,"Comedy,Drama",nm0858525,nm0000113
tt0192614,5.6,106,"Action,Crime,Drama",nm0003418,nm0005045
tt0195685,7.4,131,"Biography,Drama",nm0001752,nm0000210
tt0195714,6.7,98,"Horror,Thriller",nm0939128,nm0001701
tt0195945,6.1,98,Comedy,nm0139867,nm0001084
tt0196229,6.5,90,Comedy,nm0001774,nm0001774
tt0198021,6.7,120,"Comedy,Drama,Romance",nm0931285,nm0000204
tt0198781,8.1,92,"Adventure,Animation,Comedy","nm0230032,nm0798899,nm0881279",nm0000345
tt0199626,5.4,119,"Mystery,Thriller",nm0001005,nm0000212
tt0199725,7.2,124,"Drama,Romance,Sport",nm0697656,nm0005125
tt0199753,5.7,106,"Action,Sci-Fi,Thriller",nm0388817,nm0000174
tt0200027,6.5,132,"Biography,Comedy,Drama",nm0001508,nm0000106
tt0200465,7.2,111,"Crime,Drama,Thriller",nm0002044,nm0005458
tt0200550,5.7,100,"Comedy,Drama,Music",nm0573589,nm0005305
